N,P,K,temperature,humidity,ph,rainfall,Soil_OC,Fertilizer_kg_ha,Pest_Index,Irrigation_mm,Yield_t_ha,label
60.0,36.0,43.0,23.43121862,83.06310136,5.286203711000001,219.9048349,0.9324083969394794,187.08676319433692,0.7668367806749298,337.8127677333451,3.77,rice
76.0,60.0,39.0,20.0454142,80.3477562,6.766240045,208.5810155,1.0214917719583685,247.6673239537102,0.735315932951206,331.0846682374264,3.43,rice
93.0,56.0,42.0,23.85724032,82.22572988,7.382762603,195.0948311,1.1623077999694045,219.2323646492266,0.8109644216906039,332.42268929129085,3.16,rice
65.0,60.0,43.0,21.97199397,81.89918197,5.658169482000001,227.3637009,1.0111676288840867,217.8186657823092,0.8093755399465152,332.76928207163803,3.2,rice
95.0,52.0,36.0,26.22916897,83.83625819,5.543360237999999,286.5083725,1.353099952249595,214.2140983338032,0.948411288032732,247.13901060013228,3.79,rice
75.0,38.0,39.0,23.44676801,84.79352417,6.215109715,283.9338466,1.1431280119116198,207.4544782393745,0.9017760073038252,320.5688222872532,3.33,rice
74.0,54.0,38.0,25.65553461,83.47021081,7.120272972,217.3788583,0.956078247677736,229.3033108514595,0.7328039116576697,294.5424085427069,3.19,rice
91.0,36.0,45.0,24.44345477,82.45432595,5.950647577000001,267.97619480000003,1.1790787624148786,215.6885730947842,0.7853711310277763,328.1085083856483,3.68,rice
71.0,46.0,40.0,20.2801937,82.1235421,7.236705436,191.9535738,1.0431263431403563,167.936792150593,0.6711037385470534,354.706860736066,3.05,rice
99.0,55.0,35.0,21.7238313,80.2389895,6.501697816,277.9626192,1.387554512712236,241.98422220194743,0.8851533543379236,281.0099528206332,3.56,rice
72.0,40.0,38.0,20.41447029,82.20802629,7.592490617,245.1511304,0.972082576215471,206.55107827600264,0.879546172761017,329.843602598883,3.29,rice
83.0,58.0,45.0,25.75528612,83.51827127,5.875345751,245.6626799,1.1114341023336185,242.06442132442547,0.9211279745559858,285.4298412498669,3.62,rice
93.0,58.0,38.0,20.61521424,83.77345559,6.932400225,279.5451717,1.1193665025993973,257.5367328773323,0.917522895756162,296.3822798409591,3.64,rice
70.0,36.0,42.0,21.84106875,80.72886384,6.9462098810000015,202.3838319,0.8803793375919329,181.93419480526427,0.8123602211167493,266.3898524385647,2.88,rice
76.0,47.0,42.0,20.08369642,83.29114712,5.739175027000001,263.6372176,1.14125258223942,225.2032415817568,0.822262356220649,264.7630964033418,3.88,rice
99.0,41.0,36.0,24.45802087,82.74835604,6.738652179,182.5616319,1.425624002857082,243.8876126871696,0.6820848546028072,339.716483879768,3.95,rice
99.0,54.0,37.0,21.14347496,80.33502926,5.5948196260000005,198.6730942,1.2827989878419666,213.32118623990223,0.789411601114211,313.7217254288471,4.14,rice
86.0,59.0,35.0,25.78720567,82.11124033,6.946636369,243.5120414,1.2603532897892025,234.79477738878467,0.8382342014586367,300.03931345763147,3.29,rice
69.0,46.0,41.0,23.64124821,80.28597873,5.012139669,263.1103304,1.0261636025047634,198.4373025348849,0.8379018649637113,298.46216864545084,3.63,rice
91.0,56.0,37.0,23.43191632,80.56887849,6.363472207999999,269.5039162,1.1454880245394876,232.7771599034753,0.8621203999049828,301.5758837549792,3.41,rice
61.0,52.0,41.0,24.97669518,83.891805,6.880431223,204.8001847,0.9461395605508414,209.21514725307503,0.7925770170562437,352.42611801601225,3.3,rice
67.0,45.0,38.0,22.72791041,82.17068809999998,7.300410836,260.8875056,1.123803656646597,192.6915715382968,0.9050649790593446,269.1416904531936,3.24,rice
79.0,42.0,37.0,24.87300744,82.84022551,6.587918707999999,295.6094492000001,1.086417396089005,197.8643788125758,0.9559365645675144,265.4610439347549,2.99,rice
78.0,43.0,42.0,21.32376327,83.00320459,7.283736617000001,192.3197536,1.2364643655814007,213.5122862623204,0.7816565832903507,361.4088172455255,3.41,rice
75.0,54.0,36.0,26.29465461,84.56919326,7.023936392,257.4914906,0.7880254895910255,198.691310917058,0.8930272906548131,320.59019443808046,3.15,rice
97.0,36.0,45.0,22.2286982,81.85872947,6.939083505,278.0791793,1.3521902504375225,211.71262306672224,0.8876277435079055,295.22892178794547,3.65,rice
67.0,47.0,44.0,26.73072391,81.78596776,7.868474653,280.4044392,0.9787047068238172,218.1905992443476,0.841529905558269,270.50985321761885,2.81,rice
73.0,35.0,38.0,24.88921174,81.97927117,5.005306977,185.9461429,1.0000992649534133,178.76808947262015,0.7776320512989904,337.13626691516225,3.28,rice
77.0,36.0,37.0,26.88444878,81.46033732,6.136131869,194.5766559,1.0791760776535502,209.99468751363813,0.6784728116770369,335.8348394250376,3.39,rice
81.0,41.0,38.0,22.67846116,83.72874389,7.5240800760000015,200.9133156,0.9112431085399108,216.93886939280927,0.8229514617547941,332.593003610859,3.07,rice
68.0,57.0,43.0,26.08867875,80.37979919,5.706943251,182.9043504,0.9580328112162488,192.11289906814105,0.6664251153516982,357.6376595825124,2.95,rice
72.0,45.0,35.0,25.42977518,82.94682591,5.758506323,195.3574542,1.0557112571511746,191.8365302149652,0.7724477253997366,362.6840586276926,3.33,rice
61.0,53.0,43.0,26.40323239,81.05635517,6.349606327,223.3671883,1.0577894044741516,224.91164104571052,0.7419033508320254,348.08804340384177,3.39,rice
67.0,43.0,39.0,26.04371967,84.96907151,5.9999690260000005,186.7536773,0.9181729781726352,184.2825170329048,0.786488781280388,361.7127619095387,3.13,rice
67.0,58.0,39.0,25.2827223,80.54372813,5.453592032,220.1156708,0.8891506397106812,207.0339360653592,0.7750536685502712,330.3680728370142,3.76,rice
66.0,60.0,38.0,22.08576562,83.47038318,6.372576327000001,231.7364957,0.9098242956415464,220.93091339877844,0.7300664954385001,322.5626934500001,3.49,rice
82.0,43.0,38.0,23.28617173,81.43321641,5.105588355,242.3170629,1.2115402117702074,224.7508576392389,0.8327236972109239,292.20577770602983,3.89,rice
84.0,50.0,44.0,25.48591986,81.40633547,5.9353444060000005,182.6549356,1.1728751109659683,224.22691670933256,0.7030818881116978,339.5832966707113,3.57,rice
81.0,53.0,42.0,23.67575393,81.03569343,5.17782304,233.7034975,1.057023979623296,217.03734707962536,0.8418761599540018,263.6333655806787,3.75,rice
91.0,50.0,40.0,20.82477109,84.1341879,6.462391607000001,230.22422230000004,1.2613267433113355,252.3355479254776,0.8118370415700538,298.92129695769376,3.77,rice
93.0,53.0,38.0,26.92995077,81.91411159,7.069172227,290.67937830000005,1.239707754934804,260.0834949569637,0.898828223209402,273.51498529803354,3.36,rice
90.0,44.0,38.0,23.83509503,83.88387074,7.473134377,241.20135130000003,1.296864499053289,236.6828707617269,0.7770265784225729,287.7113055588129,3.55,rice
81.0,45.0,35.0,26.52872817,80.12267476,6.158376967000001,218.9163567,1.0397946906122648,212.27977213847527,0.7431579125886317,323.9494321772218,3.16,rice
78.0,40.0,38.0,26.46428311,83.85642678,7.549873681,248.2256491,1.0472337853402232,193.8760141753861,0.811174161008279,315.76728952236954,2.82,rice
60.0,51.0,36.0,22.69657794,82.81088865,6.028321557999999,256.9964761,0.8607891846867842,184.54333390165152,0.8823624240454611,308.62420879268007,3.08,rice
88.0,46.0,42.0,22.68319059,83.46358271,6.604993475,194.2651719,1.033648505186788,233.8377115789864,0.8436705798502745,323.3488425350188,3.96,rice
93.0,47.0,37.0,21.53346343,82.14004101,6.500343222000001,295.9248796,1.2596120277064575,233.27597331333027,0.8471481646061896,283.9869010936093,3.89,rice
60.0,55.0,45.0,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,0.9261055272179888,231.02397889419643,0.9372539131662174,296.24380918066447,3.53,rice
78.0,35.0,44.0,26.54348085,84.67353597,7.072655622,183.6222657,1.080511345664246,216.7567513880421,0.6443870325337149,332.4822385834432,2.92,rice
65.0,37.0,40.0,23.35905428,83.59512273,5.333322606,188.413665,0.9265412866624854,169.45379547360272,0.6930794863253856,336.8712289107653,3.56,rice
71.0,54.0,16.0,22.61359953,63.69070564,5.7499144210000015,87.75953857,0.8684629257949585,206.7792142658438,0.4512180291239946,497.9731819243857,2.91,maize
61.0,44.0,17.0,26.10018422,71.57476937,6.931756557999999,102.2662445,0.8679354677234641,157.0290905902838,0.4981781744146306,443.328149862341,2.42,maize
80.0,43.0,16.0,23.55882094,71.59351368,6.657964753,66.71995467,1.0657285483473231,183.2404309207148,0.439341602150621,416.6867069064445,2.64,maize
73.0,58.0,21.0,19.97215954,57.68272924,6.596060648,60.65171481,0.949772273077838,205.75300309377545,0.4476152741268899,447.3578400480194,3.02,maize
61.0,38.0,20.0,18.47891261,62.69503871,5.970458434,65.43835393,0.8938714288333991,198.93501234675944,0.4527179859469402,477.0805573148256,2.85,maize
68.0,41.0,16.0,21.77689322,57.80840636,6.158830619,102.0861694,1.020405085681454,221.6487783400804,0.5019356005735889,413.02255109146193,2.72,maize
93.0,41.0,17.0,25.6217169,66.50415474,6.047906679,105.4654703,1.418618590121053,210.1008458870428,0.5741691898127422,432.1318165809068,3.3,maize
89.0,60.0,19.0,25.19192419,66.69029010000001,5.913664501,78.06639649,1.207457781283184,215.2520507191942,0.51751111891196,472.90548992050736,2.85,maize
76.0,44.0,17.0,20.41683147,62.55424820000001,5.855442401,65.27798457,1.0857550390722763,195.01758472720823,0.4952509607675187,528.5896535510419,3.24,maize
67.0,60.0,25.0,24.92162194,66.78627406,5.750254943,109.2162279,0.9625554084233834,215.3148313881076,0.5428626672478866,432.0701546131663,3.02,maize
70.0,44.0,19.0,23.31689124,73.4541537,5.852607099,94.29712821,0.8081228784700958,178.18998561664213,0.5071047570647128,487.8791257771828,2.62,maize
90.0,49.0,21.0,24.84016732,68.3584573,6.4725232870000005,74.05474936,1.1973486124550785,236.9281703386848,0.5617811186543731,518.8080555011031,2.86,maize
62.0,52.0,16.0,22.27526694,58.84015925,6.9670577620000005,63.87020584,0.9260230209941026,183.45106138787105,0.408745623314277,529.1590842405623,2.59,maize
92.0,44.0,16.0,18.87751445,65.76816093,6.082973754,94.76189431,1.4663242112485286,209.4661463363709,0.474178343055212,463.780743491567,3.57,maize
66.0,54.0,21.0,25.19008683,60.200168700000006,5.919045532,72.12375573,0.9407639035218878,200.98886378081693,0.4484701260497801,418.9775698348308,2.74,maize
63.0,58.0,22.0,18.25405352,55.28220433,6.204747652999999,63.72358154,0.9601547342333612,199.32379915921683,0.371017455401841,500.101164422116,3.15,maize
70.0,47.0,17.0,24.612911800000006,70.4162444,6.600827017,104.1626147,0.9965288230294757,196.58410750704417,0.540509433567195,477.2893819344062,3.04,maize
61.0,41.0,17.0,25.1420613,65.26185135,6.021902237000001,76.68456006,0.7931321962380468,159.74120220179617,0.5110198842581734,470.8834267769376,2.45,maize
66.0,53.0,19.0,23.09348056,60.11593810000001,6.033550195,65.49730729,1.074282281451502,179.62547369080954,0.4654424586156397,536.8402088122575,2.56,maize
74.0,55.0,19.0,18.05033737,62.89366992,6.28886807,84.23613484,1.1151933032686774,181.49768650542453,0.4447853626520519,491.5588720040238,3.38,maize
77.0,57.0,21.0,24.9321581,73.80435276,6.550563822999999,79.74078719,1.1491031947043049,211.5925184593034,0.5247618974992294,487.30741412458354,3.22,maize
99.0,50.0,15.0,18.14710054,71.09445342,5.573286437,88.07753741,1.199061254520526,225.6840475526817,0.5977200873051789,494.5138839261752,3.69,maize
74.0,56.0,22.0,18.28362235,66.65952796,6.829199275,80.97573281,1.1802794310936098,208.8665929922783,0.5327448173933638,479.0253627278264,2.93,maize
83.0,45.0,21.0,18.83344471,58.75082029,5.716222912,79.75328959999999,0.9898148937207718,224.11738650021303,0.5625958931740938,395.4623954181394,3.25,maize
100.0,48.0,16.0,25.71895816,67.22190688,5.54990242,74.51490791,1.358685709380027,213.9160597175643,0.5616910605137432,460.510923545889,3.1,maize
79.0,51.0,16.0,25.33797709,68.49835977,6.586244581,96.46380213,1.309045562580998,206.0311248338877,0.5968232148879968,489.4512386874357,3.04,maize
94.0,39.0,18.0,23.89114571,57.48775781,5.893093135,102.8301942,1.1409463674869311,184.62448685791028,0.4126400449372098,422.9420655970511,2.87,maize
75.0,49.0,15.0,21.53574127,71.50905983,5.918263801,102.4852929,0.9933702270397228,183.193504462884,0.6038944337616712,440.8105319428918,2.97,maize
78.0,48.0,22.0,23.08974909,63.10459626,5.588650585,70.43473609,1.089965136508764,208.43306636348663,0.4698852189284878,448.2201744929079,2.91,maize
87.0,54.0,20.0,25.61707368,63.4711755,6.576418207000001,108.8303762,1.11965243458838,223.73653166114715,0.4983851310897542,494.6873016560531,2.94,maize
87.0,35.0,25.0,21.44526922,63.1621551,6.178056304,65.88951188,1.0149336568933869,192.5904957850373,0.475226380133293,534.5552618425405,3.0,maize
63.0,43.0,19.0,18.51816776,55.53128131,6.641906353,90.988051,0.9368562974806028,173.926011222129,0.5017656659239076,432.4958821457781,2.9,maize
84.0,57.0,25.0,22.53510514,67.99257471,6.489040367,64.40866039,1.0337696286273894,193.23189379978783,0.5188752416635438,490.0102796216725,3.05,maize
64.0,35.0,23.0,23.02038334,61.89472002,5.680361037999999,63.03843397,0.9873592430635182,166.64456198790086,0.4114958753462304,466.54674459707854,2.64,maize
60.0,46.0,22.0,24.89364635,65.61418761,6.625404347999999,87.9298085,0.8080575765766196,191.3557474527968,0.5480478160062977,480.51853067094135,2.61,maize
98.0,44.0,21.0,25.77175115,74.089114,6.524478032,107.4931917,1.434993440501754,221.62807524159848,0.5559795624962018,457.79730061726985,3.13,maize
75.0,56.0,18.0,19.39851734,62.35750641,5.696205468,60.95197486,0.9716746707663764,206.50998582071816,0.4662484942215476,513.3991922883979,3.01,maize
86.0,55.0,21.0,21.54156232,59.64024162,6.803931519,109.7515385,1.1277938483794323,212.7466053077144,0.4890093310128099,450.2060149312366,3.52,maize
98.0,35.0,18.0,23.79746068,74.82913698,6.252797547999999,91.76337172,1.361351721736967,201.10594737942264,0.5603826715865521,546.298814471654,3.29,maize
76.0,57.0,18.0,18.9802729,74.52600826,6.092725883,94.26249353,0.9369135683566044,191.09518290789828,0.6111515230186921,424.8997935196778,3.12,maize
99.0,56.0,17.0,24.10859207,73.13112261,6.234330356,71.07562236,1.3127459934604129,232.48242630303804,0.481544546149205,427.6062770069046,3.56,maize
60.0,44.0,23.0,24.7947077,70.04556743,5.722579819,76.72860067,1.0307142754282428,183.31459416584084,0.6198379591871801,461.47869330895617,3.14,maize
74.0,48.0,17.0,21.63162756,60.27766379,6.430616465,69.21803098,0.8792516765438771,196.380282719892,0.3629023872486085,433.742321053192,2.82,maize
89.0,60.0,17.0,25.37548751,57.21025565,5.983952675,101.7004306,1.2084633858532303,208.1094773599863,0.4489787238705904,403.5257012998202,3.2,maize
69.0,51.0,23.0,22.21738222,72.85462807,6.80163854,106.6213157,1.0159882794248425,160.69985620193134,0.5978001171837537,413.339244674061,2.6,maize
96.0,46.0,22.0,20.58314011,69.00128641,6.499936446,66.29390357,1.3381822871777311,230.45729067630543,0.5316152982084321,456.0404292670512,3.32,maize
61.0,60.0,15.0,24.87502824,68.74248334,6.265564338,91.26056654,0.7863049289121917,178.81743815987394,0.5291118693980815,430.1008904014982,2.56,maize
74.0,58.0,18.0,20.03728219,56.35606753,6.727303282,109.024141,0.9079543386915724,187.0583635393532,0.4806323913632562,456.5224275133624,2.98,maize
74.0,43.0,23.0,25.95263264,61.89082199,6.325235159,99.57981207,1.0921941565616895,200.4021836787099,0.5246455189663808,435.2345160974399,2.82,maize
63.0,43.0,17.0,19.28889933,65.47050802,6.807487794,71.3195307,0.9596984673233186,167.11981040121304,0.4763622818471159,473.2950320538256,2.91,maize
99.0,36.0,20.0,20.57981887,65.34583901,6.671085817000001,78.34604471,1.3150492850345876,220.89904576069927,0.5661954899034121,498.480938525028,3.32,maize
77.0,36.0,23.0,24.71417533,56.73426469,6.648725327,88.45361858,1.1046448209496975,195.25508924365045,0.5003112019582467,438.5567056765572,2.51,maize
87.0,60.0,23.0,20.27317074,63.91281869,6.439071996,62.50351892,1.1019975278421508,230.2535398480072,0.5104561549169484,479.5601041188584,3.05,maize
60.0,38.0,17.0,18.41932981,64.23580251,6.474476516,76.41312437,0.9232253697161004,144.510664331992,0.4389911447181458,484.55967521278745,2.73,maize
94.0,54.0,17.0,23.39128187,61.74427165,5.871647806,107.3198135,1.269307247329868,233.179159780796,0.5095892933463816,384.4331524813933,3.25,maize
95.0,38.0,22.0,19.84939404,61.24500053,5.730617109,100.7689246,1.1785648581973631,208.91875796850783,0.4868052718772981,377.68391013148255,3.62,maize
84.0,44.0,21.0,21.869274,61.91044947,5.850439831,107.2681929,1.3265774511144757,193.4608429113069,0.4642068852355268,453.1153269639317,3.04,maize
77.0,58.0,19.0,22.8056033,56.50768935,5.791649933,101.5952794,1.1173832920911788,206.15082701013367,0.4925147178306217,463.16514901700697,3.06,maize
66.0,44.0,20.0,19.0781471,69.02298571,6.740000687999999,80.72515943,0.8408696502797351,153.3564715065252,0.4948891722776758,531.2014446155723,3.0,maize
63.0,35.0,16.0,22.02720976,65.35549924,6.272417541,83.73280082,0.9956553608633828,170.12979217221005,0.5365469213591785,471.0100454560043,2.69,maize
79.0,45.0,20.0,23.80546189,59.24537979,5.715208817000001,89.96220140000001,0.992531832977268,178.55942737726892,0.4219123024619501,484.6299901177428,3.08,maize
72.0,60.0,25.0,18.52510753,69.0276233,5.773454729,88.10234397,1.0987084603742452,186.70994571234692,0.6175875624020912,456.0334767224208,3.29,maize
67.0,51.0,24.0,23.50297882,61.32026065,5.584171461,64.77791424,1.0858595579007404,169.16461220673165,0.4094754832903969,494.1389024075526,3.05,maize
86.0,36.0,24.0,26.54986394,72.89187265,5.787268394,73.33636055,1.077931768164829,212.69032562484887,0.5460981668266884,526.6813447024861,2.87,maize
76.0,48.0,18.0,19.29563411,69.63481219,5.77597783,83.21030571,1.1563376129244325,182.56104909460817,0.5683489129394035,403.0699097462309,3.4,maize
75.0,53.0,18.0,20.68899915,59.4375337,6.864793607,103.651438,1.0912780926936498,219.00591564874748,0.4662950980233277,458.7570497271505,2.65,maize
81.0,45.0,23.0,19.32666088,68.03449300000001,6.192360002999999,84.22969177,1.192206015999449,190.9629780542156,0.5631366458649809,529.837910132321,3.17,maize
73.0,45.0,21.0,24.60532218,73.58868502,6.636803222999999,96.59195302,1.2196792982653948,163.3896306361058,0.5088622009233126,461.8690735562803,2.88,maize
71.0,35.0,24.0,22.27373646,59.52193158,5.826426917,67.96704792,0.9854611883997128,163.2521334007701,0.5203602049991279,531.5501409769854,3.03,maize
96.0,54.0,22.0,25.70196694,61.33450447,6.960358276,83.20711308,1.184626383564251,240.53717430010408,0.4796573075082879,447.9165224341167,3.26,maize
99.0,39.0,18.0,19.20129357,68.30578978,6.11275104,87.85092352,1.2010485570374476,203.66152733095,0.4971487329748892,461.18765165508864,3.33,maize
62.0,48.0,20.0,21.70181447,60.47470519,6.708446922,95.71388473,0.8384189715034561,171.77569055264098,0.4755076554919616,455.2918563416576,2.96,maize
86.0,37.0,16.0,20.51716779,59.21235483,5.561510732,67.61013737,1.1522898290585897,191.4002733877918,0.4858669422763026,415.8621302492369,3.15,maize
94.0,50.0,19.0,23.30355338,73.62548442,5.873242491,97.59081274,1.2741151974816645,220.5267410425132,0.5426512255808115,417.363852424494,3.56,maize
76.0,39.0,24.0,24.2547451,55.64709899,6.995843776,64.23845455,1.087669079933002,205.7609822385369,0.3820659822021944,452.8552930684804,2.87,maize
77.0,52.0,17.0,24.86374934,65.7420046,5.714799723,75.82270467,1.1527183249036024,217.7274884483939,0.4844721372808131,498.83927767097583,2.84,maize
74.0,39.0,23.0,22.6265115,65.77472881,6.78073637,88.17251033,1.0413001891877909,180.6034703131637,0.4533636143281682,487.9920828405216,2.85,maize
81.0,49.0,20.0,18.04185513,60.61494304,5.513697923,104.2321615,1.2553534077157318,180.10928470876942,0.5936930689704242,455.488931781196,3.48,maize
63.0,42.0,21.0,23.26237612,72.33125523,5.798423907999999,67.10225139,0.9035343166762044,169.79802258315087,0.4951374703392638,507.6208355156712,2.91,maize
